PROBLEM,FEATURE_SET,ACCURACY,MACRO_PRECISION,MACRO_RECALL,MACRO_F1,WEIGHTED_PRECISION,WEIGHTED_RECALL,WEIGHTED_F1
IDS_CIC-multiclass,TOR,1.00,0.75,0.73,0.74,1.00,1.00,1.00
IDS_CIC-multiclass,VPN,1.00,0.87,0.75,0.78,1.00,1.00,1.00
IDS_CIC-multiclass,ALL,1.00,0.75,0.73,0.74,1.00,1.00,1.00
IDS_CIC-multiclass,COMBO,1.00,0.75,0.73,0.74,1.00,1.00,1.00
IDS_CIC-multiclass,COMBO2,1.00,0.75,0.72,0.74,1.00,1.00,1.00
IDS_CIC-multiclass,Cryptomining,1.00,0.75,0.73,0.74,1.00,1.00,1.00
IoT-23,-,99.8566,99.95536402233924,99.85428350749417,99.90479819740631,0,0,0
TON_IoT-binary,-,99.9488,99.95828193788421,99.990369664443,99.97432322644707,0,0,0
IoT-23,Botnet,99.84779999999999,99.95350048359496,99.84446290599561,99.89895194175595,0,0,0
IoT-23,DoH,99.8426,99.93465510646436,99.85640688079117,99.89551567065796,0,0,0
IoT-23,DoS,99.8572,99.95695713515194,99.85348724250781,99.90519539839178,0,0,0
IoT-23,DNS,99.854,99.95350431347127,99.85269097752145,99.90307221252944,0,0,0
IoT-23,TOR,99.8556,99.95642527865238,99.85189471253507,99.90413265279024,0,0,0
IoT-23,VPN,99.844,99.94314664711337,99.84977133923807,99.89643717321282,0,0,0
IoT-23,ALL,99.8304,99.92164695445696,99.85322182084569,99.8874226694634,0,0,0
IoT-23,COMBO,99.84779999999999,99.94633397272065,99.85162929087295,99.8989591866812,0,0,0
IoT-23,COMBO2,99.8348,99.92589464289982,99.85481435081843,99.89034185197478,0,0,0
IoT-23,Cryptomining,99.8212,99.90652443509688,99.85614145912905,99.88132659346262,0,0,0
TON_IoT-multiclass,-,0.9742,0.8394,0.8008,0.8105,0.9745,0.9742,0.9741
TON_IoT-binary,Botnet,99.939,99.9488598760604,99.98996840046145,99.96940991219141,0,0,0
TON_IoT-binary,DoH,99.9474,99.95768015018533,99.9895671364799,99.97362110071222,0,0,0
TON_IoT-binary,DoS,99.9528,99.95988680055116,99.99277724833225,99.97632931934758,0,0,0
TON_IoT-binary,DNS,99.9254,99.94003810287776,99.98515323268296,99.96259057743902,0,0,0
TON_IoT-binary,TOR,99.935,99.945452066003,99.98936650448914,99.96740446247952,0,0,0
TON_IoT-binary,VPN,99.9436,99.95567455900198,99.98776144856298,99.9717154291331,0,0,0
TON_IoT-binary,ALL,99.94420000000001,99.95507366715202,99.9889652405076,99.97201658142924,0,0,0
TON_IoT-binary,COMBO,99.932,99.94224533300178,99.9895671364799,99.96590063444877,0,0,0
TON_IoT-binary,COMBO2,99.926,99.93783526344814,99.98796208055374,99.96289238792498,0,0,0
TON_IoT-binary,Cryptomining,99.945,99.95266955729993,99.99217535235994,99.97241855198399,0,0,0
TON_IoT-multiclass,Botnet,0.97,0.82,0.77,0.79,0.97,0.97,0.97
TON_IoT-multiclass,DoH,0.97,0.83,0.78,0.80,0.97,0.97,0.97
TON_IoT-multiclass,DoS,0.97,0.83,0.79,0.80,0.97,0.97,0.97
TON_IoT-multiclass,DNS,0.97,0.82,0.78,0.80,0.97,0.97,0.97
TON_IoT-multiclass,TOR,0.97,0.83,0.79,0.80,0.97,0.97,0.97
TON_IoT-multiclass,VPN,0.96,0.83,0.77,0.78,0.96,0.96,0.96
TON_IoT-multiclass,ALL,0.97,0.83,0.80,0.81,0.97,0.97,0.97
TON_IoT-multiclass,COMBO,0.96,0.82,0.77,0.79,0.96,0.96,0.96
TON_IoT-multiclass,COMBO2,0.96,0.82,0.77,0.78,0.96,0.96,0.96
TON_IoT-multiclass,Cryptomining,0.97,0.83,0.79,0.80,0.97,0.97,0.97
TOR-binary,-,99.83999999999999,100.0,92.92035398230088,96.33027522935781,0,0,0
TOR-binary,Botnet,99.44,98.85057471264368,76.10619469026548,86.0,0,0,0
TOR-binary,DoH,99.42,100.0,74.33628318584071,85.27918781725889,0,0,0
TOR-binary,DoS,99.62,100.0,83.1858407079646,90.82125603864733,0,0,0
TOR-binary,DNS,99.53999999999999,98.91304347826086,80.53097345132744,88.78048780487806,0,0,0
TOR-binary,TOR,99.5,98.88888888888889,78.76106194690266,87.6847290640394,0,0,0
TOR-binary,VPN,99.24,95.18072289156626,69.91150442477876,80.61224489795919,0,0,0
TOR-binary,ALL,99.58,100.0,81.41592920353983,89.75609756097562,0,0,0
TOR-binary,COMBO,99.46000000000001,98.86363636363636,76.99115044247787,86.56716417910447,0,0,0
TOR-binary,COMBO2,99.48,100.0,76.99115044247787,86.99999999999999,0,0,0
TOR-binary,Cryptomining,99.64,100.0,84.070796460177,91.34615384615384,0,0,0
TOR-multiclass,-,0.9372,0.8520,0.6300,0.7003,0.9315,0.9372,0.9303
TOR-multiclass,Botnet,0.91,0.80,0.58,0.65,0.90,0.91,0.90
TOR-multiclass,DoH,0.91,0.79,0.58,0.64,0.90,0.91,0.90
TOR-multiclass,DoS,0.90,0.78,0.59,0.65,0.90,0.90,0.90
TOR-multiclass,DNS,0.91,0.79,0.60,0.66,0.90,0.91,0.90
TOR-multiclass,TOR,0.93,0.78,0.62,0.68,0.92,0.93,0.92
TOR-multiclass,VPN,0.90,0.79,0.57,0.63,0.90,0.90,0.90
TOR-multiclass,ALL,0.89,0.78,0.56,0.63,0.89,0.89,0.88
TOR-multiclass,COMBO,0.90,0.73,0.54,0.59,0.89,0.90,0.89
TOR-multiclass,COMBO2,0.91,0.75,0.57,0.63,0.90,0.91,0.90
TOR-multiclass,Cryptomining,0.91,0.76,0.60,0.65,0.91,0.91,0.91
IDS_UNSW-binary,-,98.5012,98.16283362513568,98.86066253909492,98.51051227724268,0,0,0
IDS_UNSW-binary,Botnet,98.04,96.7509277518128,99.42953341418269,98.07194403128959,0,0,0
IDS_UNSW-binary,DoH,98.2792,97.69624842370744,98.89975745196911,98.29431915500999,0,0,0
IDS_UNSW-binary,DoS,98.0824,96.64071689469449,99.6385715197549,98.11675047140163,0,0,0
IDS_UNSW-binary,DNS,98.1624,97.5407125082685,98.8263547584094,98.17932499484789,0,0,0
IDS_UNSW-binary,TOR,98.06240000000001,96.79882548510884,99.42315057126444,98.09343881607433,0,0,0
IDS_UNSW-binary,VPN,98.0448,96.74107073560685,99.45027765366694,98.07696847141025,0,0,0
IDS_UNSW-binary,ALL,98.2524,97.59220061847395,98.95560732750367,98.26917515440353,0,0,0
IDS_UNSW-binary,COMBO,98.2448,97.7851351992035,98.73539924682454,98.25796974869984,0,0,0
IDS_UNSW-binary,COMBO2,98.2132,97.66240526195415,98.80082338673645,98.22831600782126,0,0,0
IDS_UNSW-binary,Cryptomining,98.28280000000001,97.76190664088703,98.83752473351632,98.29677327207588,0,0,0
IDS_UNSW-multiclass,-,0.9560,0.6227,0.3593,0.4022,0.9528,0.9560,0.9508
IDS_UNSW-multiclass,Botnet,0.95,0.59,0.35,0.39,0.95,0.95,0.95
IDS_UNSW-multiclass,DoH,0.95,0.48,0.30,0.32,0.95,0.95,0.94
IDS_UNSW-multiclass,DoS,0.95,0.58,0.35,0.39,0.95,0.95,0.95
IDS_UNSW-multiclass,DNS,0.95,0.55,0.31,0.33,0.95,0.95,0.94
IDS_UNSW-multiclass,TOR,0.96,0.69,0.37,0.42,0.95,0.96,0.95
IDS_UNSW-multiclass,VPN,0.95,0.40,0.29,0.30,0.94,0.95,0.94
IDS_UNSW-multiclass,ALL,0.95,0.47,0.30,0.33,0.94,0.95,0.94
IDS_UNSW-multiclass,COMBO,0.95,0.52,0.33,0.37,0.95,0.95,0.95
IDS_UNSW-multiclass,COMBO2,0.95,0.60,0.39,0.43,0.95,0.95,0.95
IDS_UNSW-multiclass,Cryptomining,0.95,0.44,0.29,0.31,0.94,0.95,0.94
VPN-ISCX-binary,-,94.15,94.7840260798696,95.64144736842105,95.2108063855915,0,0,0
VPN-ISCX-binary,Botnet,86.85000000000001,87.78747026169707,91.03618421052632,89.3823173193379,0,0,0
VPN-ISCX-binary,DoH,89.9,90.1743264659271,93.58552631578947,91.84826472962065,0,0,0
VPN-ISCX-binary,DoS,89.4,90.48387096774194,92.26973684210526,91.36807817589576,0,0,0
VPN-ISCX-binary,DNS,89.60000000000001,90.57971014492753,92.51644736842105,91.53783563873067,0,0,0
VPN-ISCX-binary,TOR,87.85,89.07630522088354,91.20065789473685,90.12596505485575,0,0,0
VPN-ISCX-binary,VPN,89.4,90.22435897435898,92.59868421052632,91.3961038961039,0,0,0
VPN-ISCX-binary,ALL,89.55,89.86539984164688,93.33881578947368,91.56918112141993,0,0,0
VPN-ISCX-binary,COMBO,87.85,89.32902182700082,90.87171052631578,90.09376273950265,0,0,0
VPN-ISCX-binary,COMBO2,88.2,89.01273885350318,91.94078947368422,90.45307443365697,0,0,0
VPN-ISCX-binary,Cryptomining,89.5,90.24,92.76315789473685,91.48418491484186,0,0,0
VPN-ISCX-multiclass,-,0.9407,0.9080,0.8908,0.8989,0.9401,0.9407,0.9403
VPN-ISCX-multiclass,Botnet,0.93,0.91,0.87,0.89,0.93,0.93,0.93
VPN-ISCX-multiclass,DoH,0.95,0.92,0.91,0.92,0.95,0.95,0.95
VPN-ISCX-multiclass,DoS,0.95,0.93,0.90,0.91,0.95,0.95,0.95
VPN-ISCX-multiclass,DNS,0.92,0.89,0.85,0.87,0.92,0.92,0.92
VPN-ISCX-multiclass,TOR,0.94,0.90,0.89,0.89,0.94,0.94,0.94
VPN-ISCX-multiclass,VPN,0.95,0.93,0.91,0.92,0.95,0.95,0.95
VPN-ISCX-multiclass,ALL,0.94,0.91,0.89,0.90,0.94,0.94,0.94
VPN-ISCX-multiclass,COMBO,0.93,0.91,0.87,0.89,0.93,0.93,0.93
VPN-ISCX-multiclass,COMBO2,0.93,0.91,0.87,0.89,0.93,0.93,0.93
VPN-ISCX-multiclass,Cryptomining,0.94,0.93,0.89,0.91,0.94,0.94,0.94
VPN-VNAT-binary,-,100.0,100.0,100.0,100.0,0,0,0
VPN-VNAT-multiclass,-,0.9900,0.9917,0.9693,0.9796,0.9901,0.9900,0.9900
VPN-VNAT-binary,Botnet,99.83999999999999,97.67441860465115,97.67441860465115,97.67441860465115,0,0,0
VPN-VNAT-binary,DoH,100.0,100.0,100.0,100.0,0,0,0
VPN-VNAT-binary,DoS,99.92,98.83720930232558,98.83720930232558,98.83720930232558,0,0,0
VPN-VNAT-binary,DNS,99.9,98.26589595375722,98.83720930232558,98.55072463768114,0,0,0
VPN-VNAT-binary,TOR,99.98,100.0,99.4186046511628,99.70845481049562,0,0,0
VPN-VNAT-binary,VPN,99.96000000000001,100.0,98.83720930232558,99.41520467836257,0,0,0
VPN-VNAT-binary,ALL,99.94,100.0,98.25581395348837,99.12023460410558,0,0,0
VPN-VNAT-binary,COMBO,99.94,99.41520467836257,98.83720930232558,99.12536443148689,0,0,0
VPN-VNAT-binary,COMBO2,99.96000000000001,100.0,98.83720930232558,99.41520467836257,0,0,0
VPN-VNAT-binary,Cryptomining,99.9,98.26589595375722,98.83720930232558,98.55072463768114,0,0,0
VPN-VNAT-multiclass,Botnet,0.97,0.97,0.88,0.91,0.97,0.97,0.97
VPN-VNAT-multiclass,DoH,0.99,0.99,0.97,0.98,0.99,0.99,0.99
VPN-VNAT-multiclass,DoS,0.97,0.98,0.91,0.93,0.97,0.97,0.97
VPN-VNAT-multiclass,DNS,0.98,0.99,0.92,0.94,0.98,0.98,0.98
VPN-VNAT-multiclass,TOR,0.98,0.99,0.94,0.96,0.98,0.98,0.98
VPN-VNAT-multiclass,VPN,0.97,0.95,0.93,0.94,0.97,0.97,0.97
VPN-VNAT-multiclass,ALL,0.98,0.98,0.93,0.95,0.98,0.98,0.98
VPN-VNAT-multiclass,COMBO,0.98,0.98,0.93,0.95,0.98,0.98,0.98
VPN-VNAT-multiclass,COMBO2,0.98,0.98,0.93,0.95,0.98,0.98,0.98
VPN-VNAT-multiclass,Cryptomining,0.97,0.98,0.90,0.93,0.97,0.97,0.97
